ETF,Underlying,Leverage,ExpectedLeverage,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,borrow_rebate_annual,borrow_net_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,protected,cagr_positive,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,include_for_algo,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike
CMGG,CMG,2.0,2.0,1.958403707496515,63.0,ols,0.08092,-0.04452,0.12544,200,0.12544,False,False,False,,False,True,False,False,False,False,True,True,False
CNCG,CNC,2.0,2.0,2.007826527251008,40.0,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False
COIG,COIN,2.0,2.0,1.9940754692891325,233.0,ols,0.173767,-0.13736700000000002,0.311134,1000,0.311134,False,False,False,,False,True,False,False,False,False,True,False,False
COTG,COST,2.0,2.0,1.968059919850469,105.0,ols,0.051462,-0.015061999999999999,0.066524,20000,0.066524,False,False,False,,True,False,False,False,True,False,False,False,False
CRCG,CRCL,2.0,2.0,1.975817053899388,131.0,ols,0.085472,-0.049072,0.134544,1700000,0.134544,False,False,False,,False,True,False,False,False,False,True,False,False
CRMG,CRM,2.0,2.0,1.984012398456163,218.0,ols,0.029855999999999997,0.0065439999999999995,0.023312,50000,0.023312,False,False,False,,True,False,False,False,True,False,False,False,False
CRWG,CRWV,2.0,2.0,1.99660509584835,132.0,ols,0.11501,-0.07861,0.19362000000000001,2800000,0.19362000000000001,False,False,False,,False,True,False,False,False,False,True,False,False
DUOG,DUOL,2.0,2.0,2.0235362589204224,46.0,ols,0.15374100000000002,-0.117341,0.27108200000000005,5000,0.27108200000000005,False,False,False,,False,True,False,False,False,False,True,False,False
FIGG,FIG,2.0,2.0,1.9877493532125408,87.0,ols,0.2133,-0.1769,0.3902,200000,0.3902,False,False,False,,False,True,False,False,False,False,True,False,False
FUTG,FUTU,2.0,2.0,2.002519768709629,87.0,ols,0.183503,-0.147103,0.330606,10000,0.330606,False,False,False,,False,True,False,False,False,False,True,False,False
GEMG,GEMI,2.0,2.0,2.001979830515529,71.0,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False
GEVG,GEV,2.0,2.0,1.930450773255767,43.0,ols,0.14943199999999998,-0.11303200000000001,0.262464,3000,0.262464,False,False,False,,False,True,False,False,False,False,True,False,False
GLGG,GLXY,2.0,2.0,2.000368718834057,124.0,ols,0.29110600000000003,-0.254706,0.545812,15000,0.545812,False,False,False,,False,True,False,False,False,False,True,False,False
GRAG,GRAB,2.0,2.0,1.918220327699192,45.0,ols,0.17321899999999998,-0.136819,0.310038,800,0.310038,False,False,False,,False,True,False,False,False,False,True,True,False
HOOG,HOOD,2.0,2.0,2.0071999541327057,229.0,ols,0.139556,-0.103156,0.242712,100000,0.242712,False,False,False,,False,True,False,False,False,False,True,False,False
IREG,IREN,2.0,2.0,1.9685583731874523,43.0,ols,0.065595,-0.029195000000000002,0.09479,3000,0.09479,False,False,False,,False,True,False,False,False,True,True,False,False
KLAG,KLAC,2.0,2.0,2.019110647610688,41.0,ols,0.047544,-0.011144000000000001,0.058688000000000004,4000,0.058688000000000004,False,False,False,,True,False,False,False,True,False,False,False,False
LACG,LAC,2.0,2.0,2.023057210530794,45.0,ols,0.142262,-0.105862,0.248124,5000,0.248124,False,False,False,,False,True,False,False,False,False,True,False,False
LULG,LULU,2.0,2.0,1.991827194840781,70.0,ols,0.427772,-0.391372,0.819144,30000,0.819144,False,False,False,,False,True,False,False,False,False,True,False,False
MPG,MP,2.0,2.0,1.9842495452582791,78.0,ols,0.193549,-0.157149,0.350698,15000,0.350698,False,False,False,,False,True,False,False,False,False,True,False,False
NBIG,NBIS,2.0,2.0,2.0110465166415583,77.0,ols,0.09331300000000001,-0.056913,0.150226,250000,0.150226,False,False,False,,False,True,False,False,False,False,True,False,False
NEMG,NEM,2.0,2.0,2.0024593371720854,63.0,ols,0.137665,-0.101265,0.23893,200,0.23893,False,False,False,,False,True,False,False,False,False,True,True,False
NETG,NET,2.0,2.0,2.0056793700631204,63.0,ols,0.22761299999999998,-0.19121300000000002,0.41882600000000003,200000,0.41882600000000003,False,False,False,,False,True,False,False,False,False,True,False,False
NIOG,NIO,2.0,2.0,2.011625482457971,40.0,ols,0.177306,-0.140906,0.318212,20000,0.318212,False,False,False,,False,True,False,False,False,False,True,False,False
NUG,NU,2.0,2.0,1.9619189000854047,62.0,ols,0.057918000000000004,-0.021518000000000002,0.079436,400,0.079436,False,False,False,,True,False,False,False,True,False,False,True,False
NVDG,NVDA,2.0,2.0,1.9683055670089205,293.0,ols,0.043072,-0.006672,0.049744,100000,0.049744,False,False,False,,True,False,False,False,True,False,False,False,False
OKTG,OKTA,2.0,2.0,2.007993256434693,62.0,ols,0.092292,-0.055892,0.14818399999999998,200,0.14818399999999998,False,False,False,,False,True,False,False,False,False,True,True,False
OPEG,OPEN,2.0,2.0,2.0010766948576246,46.0,ols,0.067841,-0.031441,0.099282,3000,0.099282,False,False,False,,False,True,False,False,False,True,True,False,False
OSCG,OSCR,2.0,2.0,1.981136148039187,71.0,ols,0.198215,-0.161815,0.36002999999999996,35000,0.36002999999999996,False,False,False,,False,True,False,False,False,False,True,False,False
PANG,PANW,2.0,2.0,1.996466001982219,228.0,ols,0.052424,-0.016024,0.068448,10000,0.068448,False,False,False,,True,False,False,False,True,False,False,False,False
PBRG,PBR,2.0,2.0,1.8963523241562017,40.0,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False
PLTG,PLTR,2.0,2.0,1.9941865503354648,204.0,ols,0.225627,-0.18922699999999998,0.41485399999999995,70000,0.41485399999999995,False,False,False,,False,True,False,False,False,False,True,False,False
PYPG,PYPL,2.0,2.0,1.9938801283855627,219.0,ols,0.183217,-0.146817,0.330034,300000,0.330034,False,False,False,,False,True,False,False,False,False,True,False,False
RTXG,RTX,2.0,2.0,2.0003888727859627,176.0,ols,0.132667,-0.09626699999999999,0.228934,200,0.228934,False,False,False,,False,True,False,False,False,False,True,True,False
SATG,SATS,2.0,2.0,2.0224186089669853,43.0,ols,0.130105,-0.093705,0.22381,10000,0.22381,False,False,False,,False,True,False,False,False,False,True,False,False
SBU,SBUX,2.0,2.0,1.992608586917624,62.0,ols,0.129976,-0.09357599999999999,0.223552,200,0.223552,False,False,False,,False,True,False,False,False,False,True,True,False
SNAG,SNAP,2.0,2.0,2.013535521012799,40.0,ols,0.14335599999999998,-0.10695600000000001,0.250312,600,0.250312,False,False,False,,False,True,False,False,False,False,True,True,False
SPOG,SPOT,2.0,2.0,1.9833662974243087,63.0,ols,0.13411099999999998,-0.097711,0.23182199999999997,3000,0.23182199999999997,False,False,False,,False,True,False,False,False,False,True,False,False
TERG,TER,2.0,2.0,1.9991688702435693,63.0,ols,0.05849,-0.022090000000000002,0.08058,8000,0.08058,False,False,False,,False,True,False,False,False,True,True,False,False
TSLG,TSLA,2.0,2.0,1.991281314860493,293.0,ols,0.107603,-0.071203,0.17880600000000002,350000,0.17880600000000002,False,False,False,,False,True,False,False,False,False,True,False,False
TSMG,TSM,2.0,2.0,1.97570301499169,275.0,ols,0.065703,-0.029303,0.095006,50000,0.095006,False,False,False,,False,True,False,False,False,True,True,False,False
UNHG,UNH,2.0,2.0,1.997954307902172,145.0,ols,0.045861,-0.009461,0.055321999999999996,400000,0.055321999999999996,False,False,False,,True,False,False,False,True,False,False,False,False
UPSG,UPS,2.0,2.0,1.9058642778705264,46.0,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False
VALG,VALE,2.0,2.0,1.963797785981587,40.0,ols,0.07991,-0.04351,0.12342,400,0.12342,False,False,False,,False,True,False,False,False,False,True,True,False
XYZG,XYZ,2.0,2.0,1.9997566363954775,218.0,ols,0.098311,-0.061910999999999994,0.16022199999999998,700,0.16022199999999998,False,False,False,,False,True,False,False,False,False,True,True,False
COIO,COIN,2.0,2.0,0.9696561112064191,130.0,ols,0.0025,0.0339,0.0,400,0.0,False,False,False,,True,False,False,False,True,False,False,True,False
MSOO,MSTR,2.0,2.0,0.9963462601028344,129.0,ols,,,,0,,False,True,False,,False,True,False,False,False,False,True,True,False
NVDO,NVDA,2.0,2.0,0.9259509651427874,129.0,ols,0.040778,-0.004378,0.045156,400,0.045156,False,False,False,,True,False,False,False,True,False,False,True,False
PLOO,PLTR,2.0,2.0,0.9161954346654002,129.0,ols,0.230216,-0.193816,0.42403199999999996,100,0.42403199999999996,False,False,False,,False,True,False,False,False,False,True,True,False
TSLO,TSLA,2.0,2.0,0.8464433343383517,129.0,ols,0.0025,0.0339,0.0,100,0.0,False,False,False,,True,False,False,False,True,False,False,True,False
CRCA,CRCL,2.0,2.0,1.9770510449176195,133.0,ols,0.129927,-0.093527,0.22345399999999999,3700000,0.22345399999999999,False,False,False,,False,True,False,False,False,False,True,False,False
NVDB,NVDA,2.0,2.0,2.0007194319252903,110.0,ols,0.027271,0.009129,0.018142,100000,0.018142,False,False,False,,True,False,False,False,True,False,False,False,False
PLTA,PLTR,2.0,2.0,1.989402183712349,110.0,ols,0.054905,-0.018505,0.07341,35000,0.07341,False,False,False,,True,False,False,False,True,False,False,False,False
TSLI,TSLA,2.0,2.0,1.978517673668698,110.0,ols,0.036018,0.00038199999999999996,0.035636,6000,0.035636,False,False,False,,True,False,False,False,True,False,False,False,False
COIA,COIN,2.0,2.0,1.9956943426574651,111.0,ols,0.08230900000000001,-0.045909000000000005,0.128218,7000,0.128218,False,False,False,,False,True,False,False,False,False,True,False,False
BITU,IBIT,2.0,2.0,1.9918407683867552,472.0,ols,0.023605,0.012795,0.01081,200000,0.01081,False,False,False,,True,False,False,False,True,False,False,False,False
ETHT,ETHA,2.0,2.0,1.9920142996020456,395.0,ols,0.068231,-0.031831,0.100062,350000,0.100062,False,False,False,,False,True,False,False,False,True,True,False,False
UXRP,XRPZ,2.0,2.0,2.0121554545879894,58.0,ols,0.024873,0.011527,0.013345999999999998,550000,0.013345999999999998,False,False,False,,True,False,False,False,True,False,False,False,False
SOLT,SOEZ,2.0,2.0,2.0138708293579106,52.0,ols,0.016815,0.019584999999999998,0.0,950000,0.0,False,False,False,,True,False,False,False,True,False,False,False,False
TSLR,TSLA,2.0,2.0,1.9741756227505265,620.0,ols,0.059987000000000006,-0.023586999999999997,0.08357400000000001,60000,0.08357400000000001,False,False,False,,False,True,False,False,False,True,True,False,False
AAPB,AAPL,2.0,2.0,1.8862098537706693,883.0,ols,0.020755,0.015645,0.00511,45000,0.00511,False,False,False,,True,False,False,False,True,False,False,False,False
AMDL,AMD,2.0,2.0,1.999251388210085,481.0,ols,0.026332,0.010067999999999999,0.016264,2100000,0.016264,False,False,False,,True,False,False,False,True,False,False,False,False
AMZZ,AMZN,2.0,2.0,1.99390958047706,482.0,ols,0.026751999999999998,0.009648,0.017103999999999998,3000,0.017103999999999998,False,False,False,,True,False,False,False,True,False,False,False,False
AVGU,AVGO,2.0,2.0,1.9884956670322704,150.0,ols,0.132791,-0.09639099999999999,0.229182,6000,0.229182,False,False,False,,False,True,False,False,False,False,True,False,False
BABX,BABA,2.0,2.0,1.9268270895561908,797.0,ols,0.009379,0.027021000000000003,0.0,650000,0.0,False,False,False,,True,False,False,False,True,False,False,False,False
BULX,BULL,2.0,2.0,1.9669882138116217,115.0,ols,0.07965,-0.043250000000000004,0.12290000000000001,7000,0.12290000000000001,False,False,False,,False,True,False,False,False,False,True,False,False
CONL,COIN,2.0,2.0,1.757939263959046,883.0,ols,0.086337,-0.049936999999999995,0.136274,1100000,0.136274,False,False,False,,False,True,False,False,False,False,True,False,False
CRWL,CRWD,2.0,2.0,1.9954205472444173,316.0,ols,0.076141,-0.039741,0.115882,10000,0.115882,False,False,False,,False,True,False,False,False,True,True,False,False
DLLL,DELL,2.0,2.0,1.982992259836043,253.0,ols,0.159731,-0.123331,0.28306200000000004,3000,0.28306200000000004,False,False,False,,False,True,False,False,False,False,True,False,False
ETRL,ETOR,2.0,2.0,1.9958588184309567,116.0,ols,0.115092,-0.078692,0.193784,1000,0.193784,False,False,False,,False,True,False,False,False,False,True,False,False
GOU,GOOGL,2.0,2.0,2.0344355366254017,52.0,ols,0.09896200000000001,-0.06256199999999999,0.161524,9000,0.161524,False,False,False,,False,True,False,False,False,False,True,False,False
INTW,INTC,2.0,2.0,1.9884874328257207,253.0,ols,0.031084,0.0053159999999999995,0.025768,100000,0.025768,False,False,False,,True,False,False,False,True,False,False,False,False
IONL,IONQ,2.0,2.0,1.9903885798343277,225.0,ols,0.231282,-0.194882,0.426164,90000,0.426164,False,False,False,,False,True,False,False,False,False,True,False,False
ISUL,ISRG,2.0,2.0,2.001766983720093,92.0,ols,0.09422599999999999,-0.057826,0.152052,1000,0.152052,False,False,False,,False,True,False,False,False,False,True,False,False
LCDL,LCID,2.0,2.0,1.965872352682051,208.0,ols,0.264243,-0.22784300000000002,0.492086,100000,0.492086,False,False,False,,False,True,False,False,False,False,True,False,False
MRAL,MARA,2.0,2.0,1.98068252446604,239.0,ols,0.295055,-0.258655,0.55371,1100000,0.55371,False,False,False,,False,True,False,False,False,False,True,False,False
FBL,META,2.0,2.0,1.8134424349381075,797.0,ols,0.020416,0.015984,0.0044319999999999984,10000,0.0044319999999999984,False,False,False,,True,False,False,False,True,False,False,False,False
MVLL,MRVL,2.0,2.0,1.9981229624132009,239.0,ols,0.112681,-0.076281,0.18896200000000002,60000,0.18896200000000002,False,False,False,,False,True,False,False,False,False,True,False,False
MSFL,MSFT,2.0,2.0,1.990341156811792,481.0,ols,0.034270999999999996,0.0021290000000000002,0.032142,250000,0.032142,False,False,False,,True,False,False,False,True,False,False,False,False
