etf,underlying,pair_frac_merged
ETHT,ETHA,1.9559559963517425e-11
PTIR,PLTR,1.9546587863569994e-11
SRPU,SRPT,1.9414938304950506e-11
AMDG,AMD,1.9296582451701727e-11
MULL,MU,1.9163246867161242e-11
MPG,MP,1.9056713284699562e-11
QUBX,QUBT,1.8937249942512004e-11
IONX,IONQ,1.8925594967523435e-11
HOOG,HOOD,1.8803358203382337e-11
GDXU,GDX,1.8212876447876697e-11
OPEX,OPEN,1.7966687737347015e-11
BAIG,BBAI,1.793982272942732e-11
PONX,PONY,1.7797402555657958e-11
SNOU,SNOW,1.7273064647020265e-11
RBLU,RBLX,1.6872727211570505e-11
PLTU,PLTR,1.6541794564160798e-11
GLGG,GLXY,1.643383175682795e-11
NUGT,GDX,1.5485150353226463e-11
JNUG,GDXJ,1.5400664585866936e-11
BULX,BULL,1.5341112616316675e-11
VRTL,VRT,1.5036672221297628e-11
LRCU,LRCX,1.4798010006773195e-11
PLTA,PLTR,1.4482956972954959e-11
ANEL,ANET,1.4346104335247387e-11
GEVX,GEV,1.4298935441401029e-11
ORCX,ORCL,1.4273503335377973e-11
SOFX,SOFI,1.4160617787248488e-11
URAA,URA,1.4102198391003715e-11
BABX,BABA,1.4044064683303532e-11
QPUX,IONQ,1.3913588366577545e-11
CVNX,CVNA,1.3884444391948083e-11
NVOX,NVO,1.330659800344878e-11
DKNX,DKNG,1.2737433919551376e-11
SOXL,SOXX,1.2461474450860169e-11
AFRU,AFRM,1.222238822759e-11
BITX,IBIT,1.2156844140702017e-11
XYZG,XYZ,1.2121172315078376e-11
TSLI,TSLA,1.178140250639138e-11
BTCL,IBIT,1.1497671345956312e-11
MVLL,MRVL,1.1311193010792337e-11
SHPU,SHOP,1.1257872642184261e-11
BITU,IBIT,1.119690344099336e-11
PLTG,PLTR,1.1178151611906277e-11
VSTL,VST,1.0983671140925822e-11
TSLL,TSLA,1.0868818807587127e-11
UBRL,UBER,1.0794302224223404e-11
AVGG,AVGO,1.0725716997421546e-11
MSTX,MSTR,1.064782026848302e-11
TSLR,TSLA,1.0333854230893543e-11
JOBX,JOBY,1.030510972532245e-11
QCMU,QCOM,1.0154109653290514e-11
CEGX,CEG,1.0097014295140196e-11
ETRL,ETOR,9.83187094279497e-12
LLYX,LLY,9.811919412789123e-12
CWEB,KWEB,9.806388106120192e-12
ARMG,ARM,9.592317175087074e-12
YINN,FXI,9.588972772824449e-12
AVL,AVGO,9.560688085803734e-12
MRAL,MARA,9.554931406107645e-12
DLLL,DELL,9.432607585795418e-12
CRMG,CRM,9.426186286962666e-12
GOOX,GOOGL,9.378716515450034e-12
FBL,META,9.336774751982714e-12
NOWL,NOW,9.302856365414807e-12
TSLT,TSLA,9.298151609804225e-12
UNHG,UNH,9.133626672449108e-12
SMCL,SMCI,9.103795034408291e-12
MSFU,MSFT,8.935076342304096e-12
CRWL,CRWD,8.816566790828589e-12
ASMG,ASML,8.787522270560741e-12
TTDU,TTD,8.731793058173308e-12
