k_tr,m_vcr,base_days,n_pairs,ew_mean_cagr,ew_median_cagr,winsor_mean_cagr,ew_mean_vol,ew_mean_max_dd,mean_rebalances,mean_interval_days,pct_pairs_at_cap,total_borrow_paid,total_slippage_paid,is_current,rank_winsor_mean_cagr,rank_ew_median_cagr,rank_ew_mean_vol,rank_ew_mean_max_dd,composite_rank
2.75,2.0,12.0,45,0.039915038734543114,0.03567092289081697,0.04690138281808783,0.3400550209867338,-0.21663778031375144,11.422222222222222,20.091739556739554,0.35555555555555557,551944.9058433153,20721.13066681901,False,6.0,9.0,24.0,5.0,11.0
1.75,2.0,10.0,45,0.039406771846496866,0.029080006219500243,0.04306955586298384,0.31486430321953385,-0.22040835919085905,13.333333333333334,16.907488020331158,0.022222222222222223,529962.0905037085,22200.750434569578,False,9.0,14.0,8.0,15.0,11.5
1.75,2.0,8.0,45,0.0032649784760219475,-0.0022084450516889342,-0.0008456440790297195,0.28729428367546384,-0.21706309143286948,16.266666666666666,13.680732234264223,0.0,525566.1647256935,23808.981868082796,False,18.0,23.0,2.0,8.0,12.75
2.25,2.0,12.0,45,0.03428133428776705,0.02862721229909937,0.04444762402472714,0.3355348079468732,-0.21861199023526467,11.555555555555555,19.676529766529768,0.3111111111111111,546640.7170218615,20994.841657203833,False,8.0,15.0,20.0,11.0,13.5
1.75,2.5,12.0,45,0.010339634721064252,0.03858309826609285,8.031796202214971e-06,0.3357140892279351,-0.2191512778757921,11.466666666666667,19.568748165414835,0.28888888888888886,551327.8027505629,21255.310698888978,False,17.0,7.0,21.0,12.0,14.25
1.75,3.0,12.0,45,0.02133005323539668,0.042816481349530644,0.012675608623211267,0.3507187045282662,-0.2204248330912956,11.644444444444444,19.5666720625054,0.28888888888888886,546341.408689116,21529.292906347546,False,13.0,4.0,27.0,16.0,15.0
2.25,2.0,8.0,45,-0.030533441567216376,0.0007106244314134536,-0.05078299744374386,0.28635379342032613,-0.22244431246033156,15.866666666666667,14.019336630956854,0.0,526425.1739832389,23469.411035123438,False,24.0,21.0,1.0,18.0,16.0
2.75,2.0,10.0,45,0.003127518921966321,0.015341889186327728,-0.008208372689531535,0.3207967497647498,-0.2211585036488439,12.8,17.650714029978733,0.1111111111111111,530329.7359947973,22355.858880491334,False,19.0,17.5,11.0,17.0,16.125
2.25,2.5,8.0,45,-0.038850661101656796,0.007066323460271473,-0.06038121566639606,0.28795160890467464,-0.2266558602421684,16.044444444444444,13.889642758151526,0.0,518084.03555387974,23613.496396031376,False,25.0,19.0,3.0,21.0,17.0
1.75,2.5,8.0,45,-0.005825209715040061,-0.008888895065940483,-0.01900349256805396,0.2970265763896078,-0.2225544814480387,16.288888888888888,13.740431125366621,0.0,521079.4779696925,23736.753976199703,False,20.0,25.0,5.0,19.0,17.25
1.75,3.0,8.0,45,-0.032656981875969215,-0.016313417589316703,-0.04942277679923032,0.29134918833863455,-0.22666070715335643,15.822222222222223,14.029038258401004,0.0,513412.0213517656,23609.802927736335,False,23.0,26.0,4.0,22.0,18.75
2.75,3.0,10.0,45,0.008331365408310108,0.016780947461212392,0.004161696035965521,0.3451468778686984,-0.22645808029571626,12.88888888888889,17.52989202337241,0.1111111111111111,536440.479113461,22316.160332699463,False,15.0,16.0,25.0,20.0,19.0
2.75,3.0,8.0,45,-0.018779688416631676,-0.007589713695710376,-0.03587377629451846,0.3140662076346018,-0.22884409790839214,16.133333333333333,13.916187582245373,0.0,526279.7157503709,23714.51035886352,False,21.0,24.0,7.0,24.0,19.0
2.25,3.0,8.0,45,-0.07088887281305824,-0.00128233819421808,-0.08254488504421839,0.2977514060370401,-0.2315840563714242,16.4,13.668697694248245,0.0,517310.8647335254,24103.732486412446,False,27.0,22.0,6.0,26.0,20.25
2.75,2.5,10.0,45,0.004876588547157662,0.015341889186327728,0.0016196980730514405,0.34622044023411563,-0.22782102039182134,12.71111111111111,17.71971411304744,0.08888888888888889,532003.546981959,22135.589680357145,False,16.0,17.5,26.0,23.0,20.625
2.75,2.0,8.0,45,-0.02971281442837673,0.0025308357802125148,-0.042901391915762276,0.32364280753132635,-0.23197866450352878,15.755555555555556,14.20579108799697,0.0,519479.37275501597,23684.557007003114,False,22.0,20.0,17.0,27.0,21.5
2.75,2.5,8.0,45,-0.0576006599037684,-0.030651238240246403,-0.06154217751643747,0.32324188237216595,-0.23014063064582954,15.666666666666666,14.41675560898987,0.0,525144.4691612666,23694.83133272518,False,26.0,27.0,16.0,25.0,23.5
