pair,decision_date,h_pick,trailing_growth
SCO/USO,2026-04-09,0.3,1.3145991647786088
SCO/USO,2026-05-08,0.3,1.2713138473160595
DUG/XLE,2026-01-07,0.95,0.9783985707269864
DUG/XLE,2026-02-06,0.3,1.139216940786064
DUG/XLE,2026-03-10,0.3,1.1201088230384335
DUG/XLE,2026-04-09,0.3,1.166040420095912
DUG/XLE,2026-05-08,0.3,0.9944858656844173
SKF/XLF,2026-01-07,0.3,1.0111659543140874
SKF/XLF,2026-02-06,0.3,1.0085884450953895
SKF/XLF,2026-03-10,0.95,0.9845233406589033
SKF/XLF,2026-04-09,0.95,0.9819565404327757
SKF/XLF,2026-05-08,0.95,0.9814686580020473
FNGD/XLK,2026-01-07,0.95,0.9591718940413481
FNGD/XLK,2026-02-06,0.95,0.918325912667484
FNGD/XLK,2026-03-10,0.95,0.9414651599523012
FNGD/XLK,2026-04-09,0.95,0.9579895460986405
FNGD/XLK,2026-05-08,0.3,1.0875239846152978
REW/XLK,2026-01-07,0.3,1.004903003505153
REW/XLK,2026-02-06,0.95,0.9896454383561096
REW/XLK,2026-03-11,0.95,0.9916015112512437
REW/XLK,2026-04-10,0.95,0.9906412023052652
REW/XLK,2026-05-11,0.3,1.1419403397984382
TECS/XLK,2026-01-07,0.3,1.030923974908989
TECS/XLK,2026-02-06,0.95,1.0007516516532542
TECS/XLK,2026-03-10,0.95,1.002489324431924
TECS/XLK,2026-04-09,0.95,1.0003164793662107
TECS/XLK,2026-05-11,0.3,1.1704087830328849
WEBS/XLK,2026-01-07,0.95,0.9577964220282631
WEBS/XLK,2026-02-06,0.95,0.9282540362008602
WEBS/XLK,2026-03-10,0.95,0.9437916241401566
WEBS/XLK,2026-04-09,0.95,0.9353732408240539
WEBS/XLK,2026-05-11,0.3,0.9736454268268672
DRIP/XOP,2026-01-07,0.95,0.9953618823047607
DRIP/XOP,2026-02-06,0.3,1.1304817825567244
DRIP/XOP,2026-03-10,0.3,1.1113352962434544
DRIP/XOP,2026-04-09,0.3,1.2534840320505105
DRIP/XOP,2026-05-11,0.3,1.0998220449808704
