ETF,Underlying,Leverage,Beta,Beta_n_obs,Beta_source
TZA,IWM,-3.0,-2.991924,500,ols
SOXS,SOXX,-3.0,-2.989768,500,ols
FAZ,XLF,-3.0,-3.001909,500,ols
LABD,XBI,-3.0,-2.991363,500,ols
TECS,XLK,-3.0,-2.962644,500,ols
SDOW,DIA,-3.0,-2.990118,500,ols
DUST,GDX,-3.0,-1.986394,500,ols
TTXD,XLK,-2.0,-1.836866,121,ols
TSXD,SOXX,-2.0,-1.895019,121,ols
WEBS,XLK,-3.0,-2.250356,500,ols
FNGD,XLK,-3.0,-2.839746,500,ols
REW,XLK,-2.0,-1.998682,500,ols
SKF,XLF,-2.0,-2.003626,500,ols
SPXU,SPY,-3.0,-2.894245,500,ols
DUG,XLE,-2.0,-1.975632,500,ols
DRIP,XOP,-2.0,-1.999374,500,ols
TMV,TLT,-3.0,-2.964697,500,ols
TBT,TLT,-2.0,-1.984899,500,ols
TBX,TLT,-2.0,-0.428841,500,ols
NVDS,NVDA,-1.5,-1.452594,500,ols
EWV,EWJ,-2.0,-1.97929,500,ols
APLZ,APLD,-2.0,-1.981426,45,ols
HIBS,SPY,-3.0,-4.466402,500,ols
CLSZ,CLSK,-2.0,-2.026001,26,ols_short_history
